서비스명,필드명,표시명,타입,필수,자동생성,설명,FK참조
사용자 관리,departmentId,부서,string,Y,N,부서 선택,GROUP
사용자 관리,role,역할,string,N,N,직책/담당업무,
사용자 관리,phone,연락처,string,N,N,,
사용자 관리,email,이메일,string,Y,N,UK/중복 불가,
사용자 관리,isActive,활성 상태,boolean,Y,Y,기본값: true,
사용자 관리,createdAt,등록일,datetime,Y,Y,시스템 자동 생성,
그룹 관리,id,ID,number,Y,Y,Auto Increment,
그룹 관리,groupName,그룹명,string,Y,N,,
그룹 관리,groupType,그룹 유형,enum,Y,N,조직/부서/팀 등,
그룹 관리,parentGroupId,상위 그룹,number,N,N,자기참조,GROUP
그룹 관리,sortOrder,정렬순서,number,N,N,,
그룹 관리,isActive,사용여부,boolean,Y,Y,기본값: true,
서비스 담당자,id,ID,number,Y,Y,Auto Increment,
서비스 담당자,serviceCode,서비스,string,Y,N,서비스 선택,SERVICE
서비스 담당자,employeeNo,담당자,string,Y,N,담당자 선택,USER
서비스 담당자,ownerRole,담당 역할,enum,Y,N,주담당자/부담당자/개발자/운영자 등,
서비스 담당자,startDate,담당 시작일,date,N,N,,
서비스 담당자,endDate,담당 종료일,date,N,N,null이면 현재 담당중,
서비스 담당자,createdAt,등록일,datetime,Y,Y,시스템 자동 생성,
인시던트 관리,id,인시던트 ID,number,Y,Y,Auto Increment,
인시던트 관리,incidentType,유형,enum,Y,N,서비스 장애/서버 장애,공통코드(INCIDENT_TYPE)
인시던트 관리,severity,심각도,enum,Y,N,CRITICAL/HIGH/MEDIUM/LOW/NOTICE,공통코드(SEVERITY)
인시던트 관리,status,상태,enum,Y,N,OPEN/IN_PROGRESS/RESOLVED/CLOSED,
인시던트 관리,targetType,대상 유형,enum,Y,N,SERVICE/SERVER,
인시던트 관리,targetId,대상 ID,string,Y,N,서비스 또는 서버 선택,SERVICE 또는 SERVER
인시던트 관리,title,제목,string,Y,N,인시던트 요약,
인시던트 관리,description,상세 내용,text,N,N,,
인시던트 관리,affectedServices,영향 서비스 수,number,N,Y,계산 필드 (서비스 관계 기반),
인시던트 관리,occurredAt,발생 일시,datetime,Y,N,사용자 입력,
인시던트 관리,resolvedAt,종료 일시,datetime,N,N,해결 시 입력,
인시던트 관리,createdBy,등록자,string,Y,Y,로그인 사용자,
인시던트 관리,createdAt,등록일,datetime,Y,Y,시스템 자동 생성,
공통코드 관리,codeGroup,코드 그룹,string,Y,N,PK(복합)/SERVICE_TYPE 등,
공통코드 관리,itemCode,코드,string,Y,N,PK(복합)/실제 저장값,
공통코드 관리,codeName,코드명,string,Y,N,화면 표시명,
공통코드 관리,sortOrder,정렬순서,number,N,N,동일 그룹 내 순서,
공통코드 관리,isActive,사용여부,boolean,Y,Y,기본값: true,
공통코드 관리,notes,비고,string,N,N,,
